nombre,principio,forma,tipo
ETINILESTRADIOL 20 µg comprimido,ETINILESTRADIOL,comprimido,pastilla
ETINILESTRADIOL 30 µg + GESTODENO 75 µg comprimido,ETINILESTRADIOL,comprimido,pastilla
ETINILESTRADIOL 30 µg + LEVONORGESTREL 125 µg comprimido,ETINILESTRADIOL,comprimido,pastilla
ETINILESTRADIOL 30 µg + LEVONORGESTREL 150 µg comprimido,ETINILESTRADIOL,comprimido,pastilla
"ETINILESTRADIOL 33,9 µg/24 h + NORELGESTROMINA 203 µg/24 h sistema de liberación transdérmica",ETINILESTRADIOL,sistema de liberación transdérmica,otro
ETINILESTRADIOL 50 µg + LEVONORGESTREL 125 µg comprimido,ETINILESTRADIOL,comprimido,pastilla
ETINILESTRADIOL 50 µg + LEVONORGESTREL 250 µg comprimido,ETINILESTRADIOL,comprimido,pastilla
ETINILESTRADIOL 50 µg comprimido,ETINILESTRADIOL,comprimido,pastilla
ETINODIOL DIACETATO 500 µg comprimido,ETINODIOL DIACETATO,comprimido,pastilla
ETIONAMIDA 250 mg comprimido,ETIONAMIDA,comprimido,pastilla
ETODOLACO 200 mg comprimido,ETODOLACO,comprimido,pastilla
ETODOLACO 200 mg cápsula dura,ETODOLACO,cápsula dura,pastilla
ETODOLACO 300 mg comprimido,ETODOLACO,comprimido,pastilla
ETODOLACO 300 mg cápsula dura,ETODOLACO,cápsula dura,pastilla
ETODOLACO 400 mg cápsula dura,ETODOLACO,cápsula dura,pastilla
ETOFENAMATO 1.000 mg/2 ml solución inyectable,ETOFENAMATO,solución inyectable,ml
ETOFENAMATO 10 % + NICOTINATO BENCILO 1 % crema,ETOFENAMATO,crema,otro
ETOFENAMATO 10 % crema,ETOFENAMATO,crema,otro
ETOFENAMATO 10 % gel,ETOFENAMATO,gel,otro
ETOFENAMATO 100 mg/ml emulsión cutánea,ETOFENAMATO,emulsión cutánea,ml
ETOFENAMATO 100 mg/ml solución para pulverización cutánea,ETOFENAMATO,solución para pulverización cutánea,ml
ETOFENAMATO 5 % gel,ETOFENAMATO,gel,otro
ETOFIBRATO 500 mg cápsula dura de liberación prolongada,ETOFIBRATO,cápsula dura de liberación prolongada,pastilla
ETOMIDATO 2 mg/ml emulsión inyectable,ETOMIDATO,emulsión inyectable,ml
ETOMIDATO 2 mg/ml solución inyectable,ETOMIDATO,solución inyectable,ml
ETONOGESTREL 68 mg implante,ETONOGESTREL,implante,pastilla
ETOPOSIDO (fosfato) 100 mg polvo para solución inyectable,ETOPOSIDO (fosfato),polvo para solución inyectable,ml
ETOPOSIDO 100 mg cápsula blanda,ETOPOSIDO,cápsula blanda,pastilla
ETOPOSIDO 20 mg/ml concentrado para solución para perfusión,ETOPOSIDO,concentrado para solución para perfusión,ml
ETOPOSIDO 20 mg/ml solución para perfusión,ETOPOSIDO,solución para perfusión,ml
ETOPOSIDO 25 mg cápsula blanda,ETOPOSIDO,cápsula blanda,pastilla
ETOPOSIDO 50 mg cápsula blanda,ETOPOSIDO,cápsula blanda,pastilla
ETORICOXIB 120 mg comprimido,ETORICOXIB,comprimido,pastilla
ETORICOXIB 30 mg comprimido,ETORICOXIB,comprimido,pastilla
ETORICOXIB 60 mg comprimido,ETORICOXIB,comprimido,pastilla
ETORICOXIB 90 mg comprimido,ETORICOXIB,comprimido,pastilla
ETOSUXIMIDA 250 mg cápsula blanda,ETOSUXIMIDA,cápsula blanda,pastilla
ETOSUXIMIDA 250 mg cápsula dura,ETOSUXIMIDA,cápsula dura,pastilla
ETOSUXIMIDA 250 mg/5 ml jarabe,ETOSUXIMIDA,jarabe,ml
ETRAVIRINA 100 mg comprimido,ETRAVIRINA,comprimido,pastilla
ETRAVIRINA 200 mg comprimido,ETRAVIRINA,comprimido,pastilla
ETRAVIRINA 25 mg comprimido,ETRAVIRINA,comprimido,pastilla
EUGENOL 15 % + LIDOCAINA 5 % pasta dental,EUGENOL,pasta dental,otro
"EUGENOL 16,45 % + LIDOCAINA 9,5 % solución dental",EUGENOL,solución dental,ml
"EVEROLIMUS 0,1 mg comprimido dispersable",EVEROLIMUS,comprimido dispersable,pastilla
"EVEROLIMUS 0,25 mg comprimido",EVEROLIMUS,comprimido,pastilla
"EVEROLIMUS 0,25 mg comprimido dispersable",EVEROLIMUS,comprimido dispersable,pastilla
"EVEROLIMUS 0,5 mg comprimido",EVEROLIMUS,comprimido,pastilla
"EVEROLIMUS 0,75 mg comprimido",EVEROLIMUS,comprimido,pastilla
EVEROLIMUS 1 mg comprimido,EVEROLIMUS,comprimido,pastilla
EVEROLIMUS 10 mg comprimido,EVEROLIMUS,comprimido,pastilla
EVEROLIMUS 2 mg comprimido dispersable,EVEROLIMUS,comprimido dispersable,pastilla
"EVEROLIMUS 2,5 mg comprimido",EVEROLIMUS,comprimido,pastilla
EVEROLIMUS 3 mg comprimido dispersable,EVEROLIMUS,comprimido dispersable,pastilla
EVEROLIMUS 5 mg comprimido,EVEROLIMUS,comprimido,pastilla
EVEROLIMUS 5 mg comprimido dispersable,EVEROLIMUS,comprimido dispersable,pastilla
EVOLOCUMAB 140 mg/1 ml solución inyectable en jeringa precargada,EVOLOCUMAB,solución inyectable en jeringa precargada,ml
EVOLOCUMAB 140 mg/1 ml solución inyectable en pluma precargada,EVOLOCUMAB,solución inyectable en pluma precargada,ml
EXAMETAZIMA 500 µg polvo para solución inyectable,EXAMETAZIMA,polvo para solución inyectable,ml
EXEMESTANO 25 mg comprimido,EXEMESTANO,comprimido,pastilla
EXENATIDA 10 µg/40 µl solución inyectable en pluma precargada,EXENATIDA,solución inyectable en pluma precargada,ml
"EXENATIDA 2 mg/0,65 ml polvo y disolvente para suspensión de liberación prolongada inyectable en pluma precargada",EXENATIDA,polvo y disolvente para suspensión de liberación prolongada inyectable en pluma precargada,ml
EXENATIDA 5 µg/20 µl solución inyectable en pluma precargada,EXENATIDA,solución inyectable en pluma precargada,ml
EZETIMIBA 10 mg + ROSUVASTATINA (cálcica) 10 mg comprimido,EZETIMIBA,comprimido,pastilla
EZETIMIBA 10 mg + ROSUVASTATINA (zinc) 10 mg cápsula dura,EZETIMIBA,cápsula dura,pastilla
EZETIMIBA 10 mg + ROSUVASTATINA (zinc) 20 mg cápsula dura,EZETIMIBA,cápsula dura,pastilla
EZETIMIBA 10 mg + SIMVASTATINA 10 mg comprimido,EZETIMIBA,comprimido,pastilla
EZETIMIBA 10 mg + SIMVASTATINA 20 mg comprimido,EZETIMIBA,comprimido,pastilla
EZETIMIBA 10 mg + SIMVASTATINA 40 mg comprimido,EZETIMIBA,comprimido,pastilla
EZETIMIBA 10 mg + SIMVASTATINA 80 mg comprimido,EZETIMIBA,comprimido,pastilla
EZETIMIBA 10 mg comprimido,EZETIMIBA,comprimido,pastilla
FACTOR IX HUMANO 100 UI/ml polvo y disolvente para solución inyectable,FACTOR IX HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR IX HUMANO 120 UI/ml polvo y disolvente para solución inyectable,FACTOR IX HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR IX HUMANO 150 UI/ml polvo y disolvente para solución inyectable,FACTOR IX HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR IX HUMANO 40 UI/ml polvo y disolvente para solución inyectable,FACTOR IX HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR IX HUMANO 50 UI/ml polvo y disolvente para solución inyectable,FACTOR IX HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR IX HUMANO 500 UI polvo para solución inyectable,FACTOR IX HUMANO,polvo para solución inyectable,ml
FACTOR IX HUMANO 500 UI/10 ml polvo y disolvente para solución inyectable,FACTOR IX HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 1.000 UI + FACTOR VON WILLEBRAND HUMANO 1.000 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 1.000 UI + FACTOR VON WILLEBRAND HUMANO 1.200 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 1.000 UI + FACTOR VON WILLEBRAND HUMANO 2.400 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 100 UI/ml polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 200 UI/ml polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 25 UI/ml polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 250 UI + FACTOR VON WILLEBRAND HUMANO 300 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 250 UI + FACTOR VON WILLEBRAND HUMANO 600 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 450 UI + FACTOR VON WILLEBRAND HUMANO 400 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 50 UI/ml polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 500 UI + FACTOR VON WILLEBRAND HUMANO 1.000 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 500 UI + FACTOR VON WILLEBRAND HUMANO 1.200 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 500 UI + FACTOR VON WILLEBRAND HUMANO 500 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 500 UI + FACTOR VON WILLEBRAND HUMANO 600 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR VIII HUMANO 900 UI + FACTOR VON WILLEBRAND HUMANO 800 UI polvo y disolvente para solución inyectable,FACTOR VIII HUMANO,polvo y disolvente para solución inyectable,ml
FACTOR XI HUMANO 1.000 UI polvo y disolvente para solución inyectable,FACTOR XI HUMANO,polvo y disolvente para solución inyectable,ml
"FACTOR XIII HUMANO 62,5 UI/ml polvo y disolvente para solución inyectable",FACTOR XIII HUMANO,polvo y disolvente para solución inyectable,ml
FAMCICLOVIR 125 mg comprimido,FAMCICLOVIR,comprimido,pastilla
FAMCICLOVIR 250 mg comprimido,FAMCICLOVIR,comprimido,pastilla
FAMCICLOVIR 500 mg comprimido,FAMCICLOVIR,comprimido,pastilla
FAMCICLOVIR 750 mg comprimido,FAMCICLOVIR,comprimido,pastilla
FAMOTIDINA 10 mg comprimido,FAMOTIDINA,comprimido,pastilla
FAMOTIDINA 10 mg granulado efervescente en sobre,FAMOTIDINA,granulado efervescente en sobre,pastilla
FAMOTIDINA 20 mg comprimido,FAMOTIDINA,comprimido,pastilla
FAMOTIDINA 20 mg polvo y disolvente para solución inyectable,FAMOTIDINA,polvo y disolvente para solución inyectable,ml
FAMOTIDINA 20 mg/2 ml concentrado para solución inyectable,FAMOTIDINA,concentrado para solución inyectable,ml
FAMOTIDINA 40 mg comprimido,FAMOTIDINA,comprimido,pastilla
FAMPRIDINA 10 mg comprimido de liberación prolongada,FAMPRIDINA,comprimido de liberación prolongada,pastilla
FEBUXOSTAT 120 mg comprimido,FEBUXOSTAT,comprimido,pastilla
FEBUXOSTAT 40 mg comprimido,FEBUXOSTAT,comprimido,pastilla
FEBUXOSTAT 80 mg comprimido,FEBUXOSTAT,comprimido,pastilla
FELBAMATO 400 mg comprimido,FELBAMATO,comprimido,pastilla
FELBAMATO 600 mg comprimido,FELBAMATO,comprimido,pastilla
FELBAMATO 600 mg/5 ml suspensión oral,FELBAMATO,suspensión oral,ml
FELBINACO 3 % gel,FELBINACO,gel,otro
"FELIPRESINA 0,03 UI/ml + PRILOCAINA 30 mg/ml solución inyectable para uso dental",FELIPRESINA,solución inyectable para uso dental,ml
FELODIPINO 10 mg + METOPROLOL SUCCINATO 95 mg comprimido de liberación prolongada,FELODIPINO,comprimido de liberación prolongada,pastilla
FELODIPINO 10 mg comprimido de liberación prolongada,FELODIPINO,comprimido de liberación prolongada,pastilla
"FELODIPINO 2,5 mg + RAMIPRIL 2,5 mg comprimido de liberación prolongada",FELODIPINO,comprimido de liberación prolongada,pastilla
"FELODIPINO 2,5 mg comprimido de liberación prolongada",FELODIPINO,comprimido de liberación prolongada,pastilla
"FELODIPINO 5 mg + METOPROLOL SUCCINATO 47,5 mg comprimido de liberación prolongada",FELODIPINO,comprimido de liberación prolongada,pastilla
FELODIPINO 5 mg + RAMIPRIL 5 mg comprimido de liberación prolongada,FELODIPINO,comprimido de liberación prolongada,pastilla
FELODIPINO 5 mg comprimido de liberación prolongada,FELODIPINO,comprimido de liberación prolongada,pastilla
FENAZONA 5 % gotas óticas en solución,FENAZONA,gotas óticas en solución,ml
FENAZOPIRIDINA CLORHIDRATO 100 mg comprimido,FENAZOPIRIDINA CLORHIDRATO,comprimido,pastilla
FENAZOPIRIDINA CLORHIDRATO 200 mg comprimido,FENAZOPIRIDINA CLORHIDRATO,comprimido,pastilla
FENELZINA SULFATO 15 mg comprimido,FENELZINA SULFATO,comprimido,pastilla
FENETURIDA 200 mg comprimido,FENETURIDA,comprimido,pastilla
FENILBUTAZONA 100 mg comprimido,FENILBUTAZONA,comprimido,pastilla
FENILBUTAZONA 200 mg comprimido,FENILBUTAZONA,comprimido,pastilla
FENILBUTAZONA 250 mg supositorio,FENILBUTAZONA,supositorio,pastilla
"FENILBUTIRATO DE GLICEROL 1,1 g/ml Líquido oral",FENILBUTIRATO DE GLICEROL,Líquido oral,ml
FENILBUTIRATO SODIO 483 mg/g granulado,FENILBUTIRATO SODIO,granulado,pastilla
FENILBUTIRATO SODIO 500 mg comprimido,FENILBUTIRATO SODIO,comprimido,pastilla
FENILBUTIRATO SODIO 940 mg/g granulado,FENILBUTIRATO SODIO,granulado,pastilla
FENILEFRINA (hidrocloruro) 100 µg/ml solución inyectable,FENILEFRINA (hidrocloruro),solución inyectable,ml
FENILEFRINA (hidrocloruro) 5 mg/ml solución inyectable,FENILEFRINA (hidrocloruro),solución inyectable,ml
FENILEFRINA (hidrocloruro) 50 µg/ml solución inyectable,FENILEFRINA (hidrocloruro),solución inyectable,ml
FENILEFRINA (hidrocloruro) 50 µg/ml solución inyectable en jeringa precargada,FENILEFRINA (hidrocloruro),solución inyectable en jeringa precargada,ml
"FENILEFRINA 0,12 % + PREDNISOLONA ACETATO 0,2 % + SULFACETAMIDA SODICA 10 % colirio en suspensión",FENILEFRINA,colirio en suspensión,ml
"FENILEFRINA CLORHIDRATO 0,12 % + ZINC SULFATO 0,06 % colirio en solución",FENILEFRINA CLORHIDRATO,colirio en solución,ml
"FENILEFRINA CLORHIDRATO 0,12 % + ZINC SULFATO 0,25 % colirio en solución",FENILEFRINA CLORHIDRATO,colirio en solución,ml
"FENILEFRINA CLORHIDRATO 0,12 % colirio en solución",FENILEFRINA CLORHIDRATO,colirio en solución,ml
"FENILEFRINA CLORHIDRATO 0,125 % colirio en solución",FENILEFRINA CLORHIDRATO,colirio en solución,ml
"FENILEFRINA CLORHIDRATO 0,25 % gotas nasales en solución",FENILEFRINA CLORHIDRATO,gotas nasales en solución,ml
"FENILEFRINA CLORHIDRATO 0,5 % gotas nasales en solución",FENILEFRINA CLORHIDRATO,gotas nasales en solución,ml
"FENILEFRINA CLORHIDRATO 0,5 % solución para pulverización nasal",FENILEFRINA CLORHIDRATO,solución para pulverización nasal,ml
FENILEFRINA CLORHIDRATO 1 % gotas nasales en solución,FENILEFRINA CLORHIDRATO,gotas nasales en solución,ml
FENILEFRINA CLORHIDRATO 10 % colirio en solución,FENILEFRINA CLORHIDRATO,colirio en solución,ml
FENILEFRINA CLORHIDRATO 10 % colirio en solución en envase unidosis,FENILEFRINA CLORHIDRATO,colirio en solución en envase unidosis,ml
FENILEFRINA CLORHIDRATO 10 mg/ml solución inyectable,FENILEFRINA CLORHIDRATO,solución inyectable,ml
FENILEFRINA CLORHIDRATO 15 % colirio en solución,FENILEFRINA CLORHIDRATO,colirio en solución,ml
"FENILEFRINA CLORHIDRATO 2,5 % colirio en solución",FENILEFRINA CLORHIDRATO,colirio en solución,ml
"FENILEFRINA CLORHIDRATO 2,5 % colirio en solución en envase unidosis",FENILEFRINA CLORHIDRATO,colirio en solución en envase unidosis,ml
"FENILEFRINA CLORHIDRATO 5 % + TROPICAMIDA 0,5 % colirio en solución",FENILEFRINA CLORHIDRATO,colirio en solución,ml
"FENILEFRINA CLORHIDRATO 5 % + TROPICAMIDA 0,8 % colirio en solución",FENILEFRINA CLORHIDRATO,colirio en solución,ml
FENILEFRINA CLORHIDRATO 5 % colirio en solución,FENILEFRINA CLORHIDRATO,colirio en solución,ml
"FENILEFRINA CLORHIDRATO 5,4 mg + TROPICAMIDA 0,28 mg inserto oftálmico",FENILEFRINA CLORHIDRATO,inserto oftálmico,otro
FENILEFRINA TARTRATO 5 mg/ml colirio en solución,FENILEFRINA TARTRATO,colirio en solución,ml
FENIRAMINA MALEATO 15 mg/5 ml jarabe,FENIRAMINA MALEATO,jarabe,ml
FENITOINA 100 mg comprimido,FENITOINA,comprimido,pastilla
FENITOINA 25 mg/ml suspensión oral,FENITOINA,suspensión oral,ml
FENITOINA 6 mg/ml suspensión oral,FENITOINA,suspensión oral,ml
"FENITOINA 7,5 mg/ml suspensión oral",FENITOINA,suspensión oral,ml
FENITOINA SODICA 100 mg comprimido,FENITOINA SODICA,comprimido,pastilla
FENITOINA SODICA 100 mg cápsula dura,FENITOINA SODICA,cápsula dura,pastilla
FENITOINA SODICA 100 mg cápsula dura de liberación prolongada,FENITOINA SODICA,cápsula dura de liberación prolongada,pastilla
FENITOINA SODICA 25 mg/ml suspensión oral,FENITOINA SODICA,suspensión oral,ml
FENITOINA SODICA 250 mg/5 ml solución inyectable,FENITOINA SODICA,solución inyectable,ml
FENITOINA SODICA 30 mg comprimido,FENITOINA SODICA,comprimido,pastilla
FENITOINA SODICA 50 mg cápsula dura,FENITOINA SODICA,cápsula dura,pastilla
FENOBARBITAL (sódico) 200 mg/4 ml polvo y disolvente para solución inyectable,FENOBARBITAL (sódico),polvo y disolvente para solución inyectable,ml
FENOBARBITAL (sódico) 40 mg/2 ml polvo y disolvente para solución inyectable,FENOBARBITAL (sódico),polvo y disolvente para solución inyectable,ml
FENOBARBITAL 10 mg comprimido,FENOBARBITAL,comprimido,pastilla
FENOBARBITAL 100 mg comprimido,FENOBARBITAL,comprimido,pastilla
FENOBARBITAL 15 mg comprimido,FENOBARBITAL,comprimido,pastilla
FENOBARBITAL 15 mg/5 ml solución oral,FENOBARBITAL,solución oral,ml
FENOBARBITAL 200 mg comprimido,FENOBARBITAL,comprimido,pastilla
FENOBARBITAL 30 mg comprimido,FENOBARBITAL,comprimido,pastilla
"FENOBARBITAL 5,4 % gotas orales en solución",FENOBARBITAL,gotas orales en solución,ml
FENOBARBITAL 50 mg comprimido,FENOBARBITAL,comprimido,pastilla
FENOBARBITAL 60 mg comprimido,FENOBARBITAL,comprimido,pastilla
FENOBARBITAL SODICO 100 mg/ml solución inyectable,FENOBARBITAL SODICO,solución inyectable,ml
FENOBARBITAL SODICO 15 mg/ml solución inyectable,FENOBARBITAL SODICO,solución inyectable,ml
FENOBARBITAL SODICO 200 mg/ml solución inyectable,FENOBARBITAL SODICO,solución inyectable,ml
FENOBARBITAL SODICO 30 mg/ml solución inyectable,FENOBARBITAL SODICO,solución inyectable,ml
FENOBARBITAL SODICO 40 mg/ml solución inyectable,FENOBARBITAL SODICO,solución inyectable,ml
FENOBARBITAL SODICO 65 mg/ml solución inyectable,FENOBARBITAL SODICO,solución inyectable,ml
FENOFIBRATO (de colina) 135 mg comprimido de liberación prolongada,FENOFIBRATO (de colina),comprimido de liberación prolongada,pastilla
FENOFIBRATO (de colina) 135 mg cápsula dura de liberación prolongada,FENOFIBRATO (de colina),cápsula dura de liberación prolongada,pastilla
FENOFIBRATO (de colina) 45 mg comprimido de liberación prolongada,FENOFIBRATO (de colina),comprimido de liberación prolongada,pastilla
FENOFIBRATO (de colina) 45 mg cápsula dura de liberación prolongada,FENOFIBRATO (de colina),cápsula dura de liberación prolongada,pastilla
FENOFIBRATO 100 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 100 mg cápsula dura,FENOFIBRATO,cápsula dura,pastilla
FENOFIBRATO 105 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 140 mg cápsula dura,FENOFIBRATO,cápsula dura,pastilla
FENOFIBRATO 145 mg + SIMVASTATINA 20 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 145 mg + SIMVASTATINA 40 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 145 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 160 mg + PRAVASTATINA SODICA 40 mg cápsula dura,FENOFIBRATO,cápsula dura,pastilla
FENOFIBRATO 160 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 160 mg cápsula dura,FENOFIBRATO,cápsula dura,pastilla
FENOFIBRATO 160 mg cápsula dura de liberación prolongada,FENOFIBRATO,cápsula dura de liberación prolongada,pastilla
FENOFIBRATO 200 mg + SIMVASTATINA 20 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 200 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 200 mg cápsula dura,FENOFIBRATO,cápsula dura,pastilla
FENOFIBRATO 200 mg cápsula dura de liberación modificada,FENOFIBRATO,cápsula dura de liberación modificada,pastilla
FENOFIBRATO 250 mg cápsula dura de liberación prolongada,FENOFIBRATO,cápsula dura de liberación prolongada,pastilla
FENOFIBRATO 267 mg cápsula dura,FENOFIBRATO,cápsula dura,pastilla
FENOFIBRATO 300 mg comprimido de liberación prolongada,FENOFIBRATO,comprimido de liberación prolongada,pastilla
FENOFIBRATO 300 mg cápsula dura,FENOFIBRATO,cápsula dura,pastilla
FENOFIBRATO 35 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 350 mg comprimido de liberación prolongada,FENOFIBRATO,comprimido de liberación prolongada,pastilla
FENOFIBRATO 48 mg comprimido,FENOFIBRATO,comprimido,pastilla
FENOFIBRATO 67 mg cápsula dura,FENOFIBRATO,cápsula dura,pastilla
"FENOL 0,4 % + SODIO CLORURO 0,9 % solución inyectable",FENOL,solución inyectable,ml
"FENOL 0,5 % + SODIO CLORURO 0,9 % solución inyectable",FENOL,solución inyectable,ml
"FENOL 1,4 % solución para pulverización bucal",FENOL,solución para pulverización bucal,ml
"FENOL 2,5 % solución cutánea",FENOL,solución cutánea,ml
FENOL 5 % solución inyectable,FENOL,solución inyectable,ml
FENOPROFENO (cálcico) 200 mg comprimido,FENOPROFENO (cálcico),comprimido,pastilla
FENOPROFENO (cálcico) 300 mg comprimido,FENOPROFENO (cálcico),comprimido,pastilla
"FENOTEROL BROMHIDRATO 0,3125 mg/ml + IPRATROPIO BROMURO 0,125 mg/ml solución para inhalación por nebulizador",FENOTEROL BROMHIDRATO,solución para inhalación por nebulizador,ml
"FENOTEROL BROMHIDRATO 0,5 mg/ml + IPRATROPIO BROMURO 0,25 mg/ml solución para inhalación por nebulizador",FENOTEROL BROMHIDRATO,solución para inhalación por nebulizador,ml
FENOTEROL BROMHIDRATO 1 mg/ml solución para inhalación por nebulizador,FENOTEROL BROMHIDRATO,solución para inhalación por nebulizador,ml
FENOTEROL BROMHIDRATO 100 µg + IPRATROPIO BROMURO 40 µg polvo para inhalación en cápsula dura,FENOTEROL BROMHIDRATO,polvo para inhalación en cápsula dura,pastilla
FENOTEROL BROMHIDRATO 100 µg/dosis solución para inhalación en envase a presión,FENOTEROL BROMHIDRATO,solución para inhalación en envase a presión,ml
"FENOTEROL BROMHIDRATO 2,5 mg comprimido",FENOTEROL BROMHIDRATO,comprimido,pastilla
"FENOTEROL BROMHIDRATO 2,5 mg/5 ml jarabe",FENOTEROL BROMHIDRATO,jarabe,ml
FENOTEROL BROMHIDRATO 25 µg/ml concentrado para solución para perfusión,FENOTEROL BROMHIDRATO,concentrado para solución para perfusión,ml
FENOTEROL BROMHIDRATO 5 mg comprimido,FENOTEROL BROMHIDRATO,comprimido,pastilla
FENOTEROL BROMHIDRATO 5 mg/ml solución oral y para inhalación,FENOTEROL BROMHIDRATO,solución oral y para inhalación,ml
FENOTEROL BROMHIDRATO 50 µg/dosis + IPRATROPIO BROMURO 20 µg/dosis solución para inhalación en envase a presión,FENOTEROL BROMHIDRATO,solución para inhalación en envase a presión,ml
FENOTEROL BROMHIDRATO 50 µg/dosis + IPRATROPIO BROMURO 20 µg/dosis suspensión para inhalación en envase a presión,FENOTEROL BROMHIDRATO,suspensión para inhalación en envase a presión,ml
FENOTEROL BROMHIDRATO 50 µg/ml concentrado para solución para perfusión,FENOTEROL BROMHIDRATO,concentrado para solución para perfusión,ml
"FENOTRINA 0,2 % champú",FENOTRINA,champú,otro
"FENOTRINA 0,23 % champú",FENOTRINA,champú,otro
"FENOTRINA 0,3 % champú",FENOTRINA,champú,otro
"FENOTRINA 0,3 % solución capilar",FENOTRINA,solución capilar,ml
"FENOTRINA 0,4 % champú",FENOTRINA,champú,otro
FENOVERINA 200 mg cápsula dura,FENOVERINA,cápsula dura,pastilla
FENOXIBENZAMINA CLORHIDRATO 10 mg cápsula dura,FENOXIBENZAMINA CLORHIDRATO,cápsula dura,pastilla
FENOXIMETILPENICILINA (benzatina lecitina) 1 M UI/10 ml suspensión oral,FENOXIMETILPENICILINA (benzatina lecitina),suspensión oral,ml
FENOXIMETILPENICILINA (benzatina lecitina) 250.000 UI/5 ml suspensión oral,FENOXIMETILPENICILINA (benzatina lecitina),suspensión oral,ml
FENOXIMETILPENICILINA (benzatina lecitina) 500.000 UI/5 ml suspensión oral,FENOXIMETILPENICILINA (benzatina lecitina),suspensión oral,ml
FENOXIMETILPENICILINA (potásica) 375.000 UI polvo para solución oral en sobre,FENOXIMETILPENICILINA (potásica),polvo para solución oral en sobre,ml
FENOXIMETILPENICILINA (potásica) 400.000 UI comprimido,FENOXIMETILPENICILINA (potásica),comprimido,pastilla
FENOXIMETILPENICILINA 1 M UI comprimido,FENOXIMETILPENICILINA,comprimido,pastilla
"FENOXIMETILPENICILINA 1,5 M UI comprimido",FENOXIMETILPENICILINA,comprimido,pastilla
FENOXIMETILPENICILINA 500.000 UI comprimido,FENOXIMETILPENICILINA,comprimido,pastilla
FENOXIMETILPENICILINA POTASICA 125.000 UI/5 ml polvo para suspensión oral,FENOXIMETILPENICILINA POTASICA,polvo para suspensión oral,ml
FENOXIMETILPENICILINA POTASICA 200.000 UI granulado para suspensión oral,FENOXIMETILPENICILINA POTASICA,granulado para suspensión oral,ml
FENOXIMETILPENICILINA POTASICA 200.000 UI/5 ml granulado para suspensión oral,FENOXIMETILPENICILINA POTASICA,granulado para suspensión oral,ml
FENOXIMETILPENICILINA POTASICA 200.000 UI/5 ml polvo para solución oral,FENOXIMETILPENICILINA POTASICA,polvo para solución oral,ml
FENOXIMETILPENICILINA POTASICA 250 mg comprimido,FENOXIMETILPENICILINA POTASICA,comprimido,pastilla
FENOXIMETILPENICILINA POTASICA 400.000 UI/5 ml granulado para suspensión oral,FENOXIMETILPENICILINA POTASICA,granulado para suspensión oral,ml
